Metric,Phase,BW1_MIP,BW1_MeIP,BW2_MIP,BW2_MeIP,BW3_MIP,BW3_MeIP,BW4_MIP,BW4_MeIP,BW5_MIP,BW5_MeIP,G_MIP,G_MeIP,FWHMGG_MIP,FWHMGG_MeIP,GGe2_MIP,GGe2_MeIP
Slope,Pre,0.605509138762232,0.833923183757965,0.483433156883858,0.73770562541274,0.380894058062867,0.662537113328351,0.299614305663323,0.594954646808176,0.238931822777861,0.53490803001837,0.696268907115639,0.729893443631722,0.420138803933351,0.434229555267884,0.641892395896431,0.712414460985883
Slope,Peak,0.958294194224192,1.13711074899434,0.861492218531996,1.05590076524943,0.783999405682557,0.990338344944465,0.713375507139467,0.931436545187761,0.647836182208076,0.884807458004341,1.14903745957824,1.03652785469022,0.660219299751011,0.613860717419237,0.97868771588014,0.977851108651858
Slope,Post,0.923265629214005,1.11337602077678,0.82088695859462,1.03133527920185,0.726694214628482,0.964557713176345,0.632469224790423,0.91017985120002,0.538854959847278,0.863475199315483,1.12363072604715,1.03715608905463,0.655620282826802,0.613596111992473,1.01822908242996,1.00144023176511
R2,Pre,0.617519978192275,0.514806609058982,0.599133209929742,0.54272188985331,0.549169937977883,0.578388115698137,0.481327453902671,0.607997203247159,0.401743231686056,0.614565248962331,0.725251282720932,0.626634513861097,0.669767747553269,0.554544074719645,0.814490630780432,0.760608312689403
R2,Peak,0.882253224640238,0.692188964163139,0.897874752754169,0.764061027510737,0.878883305977029,0.823876155754114,0.838008359574431,0.854082646483641,0.775493492654466,0.879138679703213,0.900494406149355,0.953237873791265,0.952156194996314,0.944136564980167,0.98148768966583,0.971744653044865
R2,Post,0.80579795281952,0.750433722663192,0.760249652667756,0.790933817346613,0.677442708562658,0.812498339872384,0.575452716385813,0.820187620389915,0.475380485205918,0.815906505674867,0.922522782175197,0.978658252221652,0.96032583625504,0.982805609254561,0.949930497493806,0.972069871375798
CoV,Pre,0.197841702243251,0.196874051056007,0.237909087552279,0.193466040686591,0.295515953492313,0.186362397226089,0.366299456447473,0.187401117235375,0.469904472826212,0.194487917305706,0.259089068428776,0.136120823782249,0.267749376069666,0.147363516630431,0.245741584268516,0.134085028447816
CoV,Peak,0.172970873760054,0.162179889974727,0.197069234095729,0.165983101771641,0.22301288582618,0.170926937149927,0.266290557424227,0.173383472763831,0.319536635732459,0.174020762120449,0.240621708341581,0.148292434376161,0.232283127951731,0.158198741678098,0.211430002835697,0.135733809494018
CoV,Post,0.100814423100122,0.126920757428012,0.102416574783973,0.119123405344708,0.116181317878459,0.109372647470107,0.146557471316958,0.0983904993388008,0.18486784420547,0.0902875558191403,0.183807854058228,0.0995763885362888,0.182657857034064,0.105749226300353,0.162410551375752,0.0884929995634775
