Label,G_dd,G_dd_p,G_rho,G_rho_p,GG_dd,GG_dd_p,GG_rho,GG_rho_p,BW_dd,BW_dd_p,BW_rho,BW_rho_p,I_dI,I_dI_p
Vessel 1,8.15424450414384,4.27514601940815e-08,-0.0708983615040779,0.483332514762878,3.47691561076973,0.00244498230825649,0.0263452213257551,0.794720947742462,-12.5445705024311,9.88711208612225e-15,0.588986039161682,1.15117235188755e-10,-13.6234817504883,7.65702368011733e-28
Vessel 2,9.94550444918574,0.00216613670221454,0.234353423118591,0.0189327280968428,10.0989557419644,0.000419000205281042,0.0728976055979729,0.471050590276718,-10.2071753410814,0.00045102501544509,0.803004443645477,9.34000346615095e-24,-18.2148818969727,5.0004920384007e-15
Vessel 3,1.15113103689088,0.684457607787637,-0.282231748104095,0.00444238167256117,-0.4003142654046,0.862041668318391,-0.275243699550629,0.00557849835604429,-4.09015025041737,0.00172428348531599,0.265165567398071,0.0076708379201591,-14.3459978103638,1.05619545303646e-22
Vessel 4,28.508362172191,5.25377375505752e-14,-0.148425161838531,0.140544220805168,28.3838643879834,1.76767368529871e-14,-0.140471741557121,0.163323953747749,1.01137800252844,0.426978124044885,0.456288903951645,1.8320864683119e-06,-19.8093948364258,4.36638143081655e-19
Vessel 5,4.85694210442815,0.000463823380628463,-0.23683887720108,0.0176695175468922,3.08079587497101,0.00148355217163518,-0.175537601113319,0.0806550309062004,-9.31515741642324,1.1144922991374e-10,0.5166956782341,3.72913930846153e-08,-16.3422527313232,6.9873949611748e-30
Overall,NaN,NaN,-0.100808145105839,NaN,NaN,NaN,-0.0984020430594683,NaN,NaN,NaN,0.526028126478195,NaN,NaN,NaN
